parent,variant_smiles,mw,logp,hbd,hba,tpsa,qed,topical_score
Embelin,COC(=O)c1cc(-c2cc(OC)ccc2O)ccc1O,274.272,2.560000000000001,2,5,75.99000000000001,0.8411440160189152,0.8011440160189146
Glabridin,COC(=O)c1cc(-c2cc(OC)ccc2O)ccc1O,274.272,2.560000000000001,2,5,75.99000000000001,0.8411440160189152,0.8011440160189146
EGCG,COC(=O)c1cc(-c2ccc(O)c(OC)c2)ccc1O,274.272,2.560000000000001,2,5,75.99000000000001,0.8411440160189152,0.8011440160189146
Glabridin,COC(=O)c1cc(-c2ccc(O)c(OC)c2)ccc1O,274.272,2.560000000000001,2,5,75.99000000000001,0.8411440160189152,0.8011440160189146
Asiaticoside,COC(=O)c1cc(-c2cc(OC)ccc2O)ccc1O,274.272,2.560000000000001,2,5,75.99000000000001,0.8411440160189152,0.8011440160189146
Asiaticoside,COC(=O)c1cc(-c2ccc(O)c(OC)c2)ccc1O,274.272,2.560000000000001,2,5,75.99000000000001,0.8411440160189152,0.8011440160189146
Embelin,COC(=O)c1cc(-c2ccc(O)c(OC)c2)ccc1O,274.272,2.560000000000001,2,5,75.99000000000001,0.8411440160189152,0.8011440160189146
EMB-3,COC(=O)c1cc(-c2ccc(O)c(OC)c2)ccc1O,274.272,2.560000000000001,2,5,75.99000000000001,0.8411440160189152,0.8011440160189146
EMB-3,COC(=O)c1cc(-c2cc(OC)ccc2O)ccc1O,274.272,2.560000000000001,2,5,75.99000000000001,0.8411440160189152,0.8011440160189146
Curcumin,COC(=O)c1ccc(O)c(C2COc3cc(O)ccc3C2)c1,300.31000000000006,2.6031000000000004,2,5,75.99000000000001,0.8337677693047111,0.7650344359713774
Asiaticoside,COC(=O)c1ccc(O)c(C2COc3cc(O)ccc3C2)c1,300.31000000000006,2.6031000000000004,2,5,75.99000000000001,0.8337677693047111,0.7650344359713774
EMB-3,COC(=O)c1ccc(O)c(C2COc3cc(O)ccc3C2)c1,300.31000000000006,2.6031000000000004,2,5,75.99000000000001,0.8337677693047111,0.7650344359713774
EGCG,COC(=O)c1ccc(O)c(C2COc3cc(O)ccc3C2)c1,300.31000000000006,2.6031000000000004,2,5,75.99000000000001,0.8337677693047111,0.7650344359713774
Embelin,COC(=O)c1ccc(O)c(C2COc3cc(O)ccc3C2)c1,300.31000000000006,2.6031000000000004,2,5,75.99000000000001,0.8337677693047111,0.7650344359713774
Glabridin,COC(=O)c1ccc(O)c(C2COc3cc(O)ccc3C2)c1,300.31000000000006,2.6031000000000004,2,5,75.99000000000001,0.8337677693047111,0.7650344359713774
Glabridin,COC(=O)c1cc(C2COc3cc(O)ccc3C2)ccc1O,300.31,2.6031000000000017,2,5,75.99000000000001,0.833767769304711,0.7650344359713764
