parent,variant_smiles,mw,logp,hbd,hba,tpsa,qed
EMB-3,COC(=O)c1ccc(O)c(CO)c1,182.17499999999998,0.6711,2,4,66.76,0.6595408286165
EMB-3,O=C(Oc1cc(O)c(O)c(O)c1)c1ccc(O)c(CO)c1,292.243,1.2204999999999995,5,7,127.45000000000002,0.3267219568973633
EMB-3,O=C(OC1COc2cc(O)ccc2C1)c1ccc(O)c(CO)c1,316.3090000000001,1.7506,3,6,96.22000000000001,0.7466617305375166
EMB-3,COC(=O)c1ccc(O)c(C2COc3cc(O)ccc3C2)c1,300.31000000000006,2.6031000000000004,2,5,75.99000000000001,0.8337677693047111
EMB-3,COC(=O)c1ccc(O)c(-c2cc(O)c(O)c(O)c2)c1,276.24399999999997,1.9626000000000001,4,6,107.22000000000001,0.4931375767207233
EMB-3,C=CC(C)(C)c1cc(C(=O)OC)ccc1O,220.26799999999997,2.6424000000000016,1,3,46.53,0.628858684541469
EMB-3,COC(=O)c1ccc(O)c(C2Oc3cc(O)cc(O)c3CC2OC)c1,346.3350000000001,2.2812,3,7,105.45000000000002,0.7322413883073323
EMB-3,COC(=O)c1ccc(O)c(C2Oc3cc(O)cc(O)c3CC2c2cc(O)c(O)c(O)c2)c1,440.40400000000017,3.166800000000001,6,9,156.91,0.2658127046276076
EMB-3,COC(=O)c1ccc(O)c(C2Oc3cc(O)cc(O)c3CC2CO)c1,346.3350000000001,1.8747,4,7,116.45000000000002,0.6269744101990697
EMB-3,C=CC(C)(C)C1Cc2c(O)cc(O)cc2OC1c1cc(C(=O)OC)ccc1O,384.42800000000017,4.094600000000004,3,6,96.22,0.5426144831791708
EMB-3,COC(=O)c1ccc(O)c(-c2cc(C3COc4cc(O)ccc4C3)ccc2O)c1,392.4070000000001,3.9757000000000025,3,6,96.22000000000001,0.5837795321832102
EMB-3,COC(=O)c1ccc(O)c(-c2cc(CO)ccc2O)c1,274.272,2.0436999999999994,3,5,86.99000000000001,0.7455174942832492
EMB-3,C=CC(C)(C)c1ccc(O)c(-c2cc(C(=O)OC)ccc2O)c1,312.365,4.015000000000002,2,4,66.76,0.6608907657201967
EMB-3,COC(=O)c1ccc(O)c(-c2cc(OC)ccc2O)c1,274.272,2.5600000000000005,2,5,75.99000000000001,0.8411440160189152
EMB-3,COC(=O)c1ccc(O)c(-c2cc(-c3cc(O)c(O)c(O)c3)ccc2O)c1,368.34100000000007,3.3352000000000013,5,7,127.45000000000002,0.3542831575802422
EMB-3,COC(=O)c1ccc(O)c(C(=O)OC)c1,210.18499999999997,0.9654,1,5,72.83,0.7359352261111048
EMB-3,COC(=O)c1ccc(O)c(C2OC(c3cc(O)c(O)c(O)c3)C(O)C(O)C2O)c1,408.35900000000004,0.1908999999999998,7,10,177.14,0.2739231357839324
EMB-3,COC(=O)c1ccc(O)c(C2OC(C3COc4cc(O)ccc4C3)C(O)C(O)C2O)c1,432.4250000000001,0.6582999999999999,5,9,145.91000000000003,0.4414921181278313
EMB-3,C=CC(C)(C)C1OC(c2cc(C(=O)OC)ccc2O)C(O)C(O)C1O,352.383,0.9135999999999997,4,7,116.45000000000002,0.47006124212714345
EMB-3,O=C(Oc1cc(O)c(O)c(O)c1)c1ccc(O)c(C2COc3cc(O)ccc3C2)c1,410.37800000000016,3.1525000000000016,5,8,136.68,0.25231307920520457
EMB-3,O=C(OC1COc2cc(O)ccc2C1)c1ccc(O)c(C2COc3cc(O)ccc3C2)c1,434.44400000000024,3.6826000000000025,3,7,105.45000000000002,0.5401841405728461
EMB-3,C=CC(C)(C)c1cc(C(=O)Oc2cc(O)c(O)c(O)c2)ccc1O,330.336,3.191800000000002,4,6,107.22000000000001,0.29674315467701406
EMB-3,C=CC(C)(C)c1cc(C(=O)OC2COc3cc(O)ccc3C2)ccc1O,354.40200000000004,3.721900000000003,2,5,75.99000000000001,0.6463665250226122
EMB-3,O=C(OC1COc2cc(O)ccc2C1)c1ccc(O)c(-c2cc(O)c(O)c(O)c2)c1,410.37800000000016,3.0421000000000014,5,8,136.68,0.3282625348593722
EMB-3,O=C(Oc1cc(O)c(O)c(O)c1)c1ccc(O)c(-c2cc(O)c(O)c(O)c2)c1,386.31200000000007,2.5119999999999996,7,9,167.91,0.20309154899051401
EMB-3,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,458.37500000000017,2.233199999999999,8,11,197.36999999999998,0.21150323672030336
EMB-3,O=C(OC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1)c1cc(O)c(O)c(O)c1,482.4410000000002,2.7006000000000014,6,10,166.14000000000001,0.24132213920278656
EMB-3,COC1Oc2cc(O)cc(O)c2CC1OC(=O)c1cc(O)c(O)c(O)c1,364.30600000000004,1.3475999999999992,5,9,145.91,0.4021100650006783
EMB-3,O=C(OC1Cc2c(O)cc(O)cc2OC1CO)c1cc(O)c(O)c(O)c1,364.30600000000004,0.7359999999999993,6,9,156.91,0.34119537157375457
EMB-3,C=CC(C)(C)C1Oc2cc(O)cc(O)c2CC1OC(=O)c1cc(O)c(O)c(O)c1,402.3990000000001,2.9559000000000024,5,8,136.68,0.29907398207339597
EMB-3,O=C(Oc1ccc(O)c(C2COc3cc(O)ccc3C2)c1)c1cc(O)c(O)c(O)c1,410.37800000000016,3.1525000000000007,5,8,136.68,0.25231307920520457
EMB-3,COc1cc(OC(=O)c2cc(O)c(O)c(O)c2)ccc1O,292.24300000000005,1.7368000000000001,4,7,116.45000000000002,0.3864939136757816
EMB-3,C=CC(C)(C)c1cc(OC(=O)c2cc(O)c(O)c(O)c2)ccc1O,330.336,3.191800000000002,4,6,107.22000000000001,0.29674315467701406
EMB-3,O=C(Oc1ccc(O)c(-c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(O)c1,386.31200000000007,2.5120000000000005,7,9,167.91,0.20309154899051401
EMB-3,O=C(Oc1ccc(O)c(CO)c1)c1cc(O)c(O)c(O)c1,292.243,1.2204999999999995,5,7,127.45000000000002,0.3267219568973633
EMB-3,O=C(OC1COc2cc(O)ccc2C1)c1cc(O)c(O)c(O)c1,318.28100000000006,1.6695000000000004,4,7,116.45000000000002,0.4913534550190647
EMB-3,O=C(OC1COc2cc(O)ccc2C1)C1Oc2cc(O)cc(O)c2CC1CO,388.3720000000002,1.2622999999999998,4,8,125.68000000000002,0.5793305779404478
EMB-3,C=CC(C)(C)C1Cc2c(O)cc(O)cc2OC1C(=O)OC1COc2cc(O)ccc2C1,426.46500000000026,3.4822000000000024,3,7,105.45,0.5076915938495103
EMB-3,COC1Cc2c(O)cc(O)cc2OC1C(=O)OC1COc2cc(O)ccc2C1,388.3720000000002,1.6687999999999998,3,8,114.68000000000002,0.6805474036033762
EMB-3,O=C(OC1COc2cc(O)ccc2C1)C1Oc2cc(O)cc(O)c2CC1c1cc(O)c(O)c(O)c1,482.44100000000026,2.554400000000001,6,10,166.14000000000001,0.24121664292384307
EMB-3,O=C(OC1COc2cc(O)ccc2C1)C1Cc2c(O)cc(O)cc2OC1CO,388.3720000000001,1.2622999999999998,4,8,125.68000000000002,0.579330577940448
EMB-3,C=CC(C)(C)C1Oc2cc(O)cc(O)c2CC1C(=O)OC1COc2cc(O)ccc2C1,426.4650000000002,3.4822000000000024,3,7,105.45,0.5076915938495103
