indication,indication_label,target_symbol,target_name,ot_score,emb3_affinity
IPF,Idiopathic pulmonary fibrosis (IPF),PTGIR,prostaglandin I2 receptor,0.35970385967896057,
IPF,Idiopathic pulmonary fibrosis (IPF),DEPTOR,DEP domain containing MTOR interacting protein,0.35394415858007844,
IPF,Idiopathic pulmonary fibrosis (IPF),FUT3,fucosyltransferase 3 (Lewis blood group),0.3520827105254517,
IPF,Idiopathic pulmonary fibrosis (IPF),FSIP2,fibrous sheath interacting protein 2,0.34969842391875644,
IPF,Idiopathic pulmonary fibrosis (IPF),ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2,0.34730235881119437,
IPF,Idiopathic pulmonary fibrosis (IPF),TSPYL6,TSPY like 6,0.3447786716031069,
IPF,Idiopathic pulmonary fibrosis (IPF),CCDC127,coiled-coil domain containing 127,0.33650787855105724,
IPF,Idiopathic pulmonary fibrosis (IPF),HS3ST4,heparan sulfate-glucosamine 3-sulfotransferase 4,0.33418880418276536,
IPF,Idiopathic pulmonary fibrosis (IPF),ADAMTS8,ADAM metallopeptidase with thrombospondin type 1 motif 8,0.33069780976085666,
IPF,Idiopathic pulmonary fibrosis (IPF),ACSL5,acyl-CoA synthetase long chain family member 5,0.3304836628696691,
IPF,Idiopathic pulmonary fibrosis (IPF),CCN2,cellular communication network factor 2,0.3288229186517219,
IPF,Idiopathic pulmonary fibrosis (IPF),C1orf141,chromosome 1 open reading frame 141,0.326083440979966,
IPF,Idiopathic pulmonary fibrosis (IPF),MYNN,myoneurin,0.3243961828676802,
IPF,Idiopathic pulmonary fibrosis (IPF),FMN1,formin 1,0.32248298606723874,
IPF,Idiopathic pulmonary fibrosis (IPF),TRIO,trio Rho guanine nucleotide exchange factor,0.3219772748107249,
IPF,Idiopathic pulmonary fibrosis (IPF),ZC3H12C,zinc finger CCCH-type containing 12C,0.3165396052373298,
IPF,Idiopathic pulmonary fibrosis (IPF),MTMR9,myotubularin related protein 9,0.31563764110036774,
IPF,Idiopathic pulmonary fibrosis (IPF),IL17B,interleukin 17B,0.3152018478039575,
IPF,Idiopathic pulmonary fibrosis (IPF),GPR157,G protein-coupled receptor 157,0.31034119842589414,
IPF,Idiopathic pulmonary fibrosis (IPF),LMNB1,lamin B1,0.3078131214873139,
renal_fibrosis,Renal interstitial fibrosis,OCRL,OCRL inositol polyphosphate-5-phosphatase,0.8835290390993484,
renal_fibrosis,Renal interstitial fibrosis,GNAS,GNAS complex locus,0.8742347537777838,
renal_fibrosis,Renal interstitial fibrosis,DYNC2H1,dynein cytoplasmic 2 heavy chain 1,0.8715985591974731,
renal_fibrosis,Renal interstitial fibrosis,WDR19,WD repeat domain 19,0.8705502876849068,
renal_fibrosis,Renal interstitial fibrosis,NPHP4,nephrocystin 4,0.8703522950232854,
renal_fibrosis,Renal interstitial fibrosis,NPHP3,nephrocystin 3,0.8651312662876566,
renal_fibrosis,Renal interstitial fibrosis,TMEM67,transmembrane protein 67,0.8590103595747351,
renal_fibrosis,Renal interstitial fibrosis,IFT140,intraflagellar transport 140,0.8590046824213828,
renal_fibrosis,Renal interstitial fibrosis,SLC3A1,solute carrier family 3 member 1,0.8587985453747372,
renal_fibrosis,Renal interstitial fibrosis,SLC12A3,solute carrier family 12 member 3,0.8578714342906714,
renal_fibrosis,Renal interstitial fibrosis,CLCN5,Cl-/H+ antiporter 5,0.8558254658221576,
renal_fibrosis,Renal interstitial fibrosis,SLC7A9,solute carrier family 7 member 9,0.8557276132474566,
renal_fibrosis,Renal interstitial fibrosis,NPHP1,nephrocystin 1,0.8540085734079517,
renal_fibrosis,Renal interstitial fibrosis,IFT172,intraflagellar transport 172,0.850274936092722,
renal_fibrosis,Renal interstitial fibrosis,TTC21B,tetratricopeptide repeat domain 21B,0.8485718076963821,
renal_fibrosis,Renal interstitial fibrosis,BSND,barttin CLCNK type accessory subunit beta,0.8468478256438455,
renal_fibrosis,Renal interstitial fibrosis,CLDN16,claudin 16,0.8409967341380028,
renal_fibrosis,Renal interstitial fibrosis,AQP2,aquaporin 2,0.840320653752766,
renal_fibrosis,Renal interstitial fibrosis,IFT122,intraflagellar transport 122,0.8402311892919537,
renal_fibrosis,Renal interstitial fibrosis,KCNJ10,potassium inwardly rectifying channel subfamily J member 10,0.8367414265252804,
renal_fibrosis,Renal interstitial fibrosis,CLCNKB,chloride voltage-gated channel Kb,0.8321332479342843,
renal_fibrosis,Renal interstitial fibrosis,CEP290,centrosomal protein 290,0.8285307714639546,
renal_fibrosis,Renal interstitial fibrosis,WDR35,WD repeat domain 35,0.8270041301413823,
renal_fibrosis,Renal interstitial fibrosis,CEP164,centrosomal protein 164,0.8234334631355307,
renal_fibrosis,Renal interstitial fibrosis,INVS,inversin,0.8220464678668695,
renal_fibrosis,Renal interstitial fibrosis,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8,0.816972083437949,
renal_fibrosis,Renal interstitial fibrosis,EVC,EvC ciliary complex subunit 1,0.8151359890345057,
renal_fibrosis,Renal interstitial fibrosis,SLC4A4,solute carrier family 4 member 4,0.8130682874646458,
renal_fibrosis,Renal interstitial fibrosis,CLDN19,claudin 19,0.8128111023824496,
renal_fibrosis,Renal interstitial fibrosis,NEK1,NIMA related kinase 1,0.809512189434217,
renal_fibrosis,Renal interstitial fibrosis,EVC2,EvC ciliary complex subunit 2,0.8088057531194479,
renal_fibrosis,Renal interstitial fibrosis,AVPR2,arginine vasopressin receptor 2,0.8086619940931516,
renal_fibrosis,Renal interstitial fibrosis,ANKS6,ankyrin repeat and sterile alpha motif domain containing 6,0.8070187615651194,
renal_fibrosis,Renal interstitial fibrosis,XPNPEP3,X-prolyl aminopeptidase 3,0.8055536083988318,
renal_fibrosis,Renal interstitial fibrosis,SLC12A1,solute carrier family 12 member 1,0.8049163045350276,
renal_fibrosis,Renal interstitial fibrosis,CEP83,centrosomal protein 83,0.801608859571903,
renal_fibrosis,Renal interstitial fibrosis,SLC2A9,solute carrier family 2 member 9,0.7965584488149992,
renal_fibrosis,Renal interstitial fibrosis,TRAF3IP1,TRAF3 interacting protein 1,0.7951444046422194,
renal_fibrosis,Renal interstitial fibrosis,SCNN1A,sodium channel epithelial 1 subunit alpha,0.7942362674322005,
renal_fibrosis,Renal interstitial fibrosis,CA2,carbonic anhydrase 2,0.7941555517847957,
renal_fibrosis,Renal interstitial fibrosis,CEP120,centrosomal protein 120,0.7929808466528729,
renal_fibrosis,Renal interstitial fibrosis,IFT80,intraflagellar transport 80,0.7916427043148574,
renal_fibrosis,Renal interstitial fibrosis,NEK8,NIMA related kinase 8,0.7913840695342212,
renal_fibrosis,Renal interstitial fibrosis,ATP6V0A4,ATPase H+ transporting V0 subunit a4,0.7871551999171227,
renal_fibrosis,Renal interstitial fibrosis,TRPM6,transient receptor potential cation channel subfamily M member 6,0.7841849363171645,
renal_fibrosis,Renal interstitial fibrosis,IFT43,intraflagellar transport 43,0.7824170272786019,
renal_fibrosis,Renal interstitial fibrosis,SARS2,"seryl-tRNA synthetase 2, mitochondrial",0.7805632256445381,
renal_fibrosis,Renal interstitial fibrosis,IQCB1,IQ motif containing B1,0.7800351527291045,
renal_fibrosis,Renal interstitial fibrosis,SCNN1B,sodium channel epithelial 1 subunit beta,0.7789587595224129,
renal_fibrosis,Renal interstitial fibrosis,NR3C2,nuclear receptor subfamily 3 group C member 2,0.7775820586887028,
hepatic_fibrosis,Hepatic fibrosis,ATP4B,ATPase H+/K+ transporting subunit beta,0.04656706169027242,
hepatic_fibrosis,Hepatic fibrosis,CBLIF,cobalamin binding intrinsic factor,0.043174318624266864,
hepatic_fibrosis,Hepatic fibrosis,GKN1,gastrokine 1,0.04244255051199115,
hepatic_fibrosis,Hepatic fibrosis,ATP4A,ATPase H+/K+ transporting subunit alpha,0.03951547806288832,
hepatic_fibrosis,Hepatic fibrosis,LIPF,"lipase F, gastric type",0.035856637501509775,
hepatic_fibrosis,Hepatic fibrosis,PGC,progastricsin,0.03000249260330409,
hepatic_fibrosis,Hepatic fibrosis,FUT9,fucosyltransferase 9,0.029270724491028383,
hepatic_fibrosis,Hepatic fibrosis,AKR1B10,aldo-keto reductase family 1 member B10,0.027807188266476962,
hepatic_fibrosis,Hepatic fibrosis,TFF1,trefoil factor 1,0.027075420154201255,
hepatic_fibrosis,Hepatic fibrosis,TFF2,trefoil factor 2,0.026343652041925545,
hepatic_fibrosis,Hepatic fibrosis,KCNE2,potassium voltage-gated channel subfamily E regulatory subunit 2,0.02561188392964983,
hepatic_fibrosis,Hepatic fibrosis,CHIA,chitinase acidic,0.02561188392964983,
hepatic_fibrosis,Hepatic fibrosis,ANXA10,annexin A10,0.02488011581737412,
hepatic_fibrosis,Hepatic fibrosis,MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming",0.024148347705098414,
hepatic_fibrosis,Hepatic fibrosis,KCNJ16,potassium inwardly rectifying channel subfamily J member 16,0.022684811480546997,
hepatic_fibrosis,Hepatic fibrosis,CA2,carbonic anhydrase 2,0.022684811480546997,
hepatic_fibrosis,Hepatic fibrosis,REG1A,regenerating family member 1 alpha,0.022684811480546997,
hepatic_fibrosis,Hepatic fibrosis,LTF,lactotransferrin,0.021953043368271283,
hepatic_fibrosis,Hepatic fibrosis,ESRRG,estrogen related receptor gamma,0.021953043368271283,
hepatic_fibrosis,Hepatic fibrosis,SST,somatostatin,0.021221275255995577,
hepatic_fibrosis,Hepatic fibrosis,MT1M,metallothionein 1M,0.020489507143719863,
hepatic_fibrosis,Hepatic fibrosis,AZGP1,"alpha-2-glycoprotein 1, zinc-binding",0.020489507143719863,
hepatic_fibrosis,Hepatic fibrosis,CPA2,carboxypeptidase A2,0.01975773903144416,
hepatic_fibrosis,Hepatic fibrosis,SULF1,sulfatase 1,0.01975773903144416,
hepatic_fibrosis,Hepatic fibrosis,REG3A,regenerating family member 3 alpha,0.01975773903144416,
hepatic_fibrosis,Hepatic fibrosis,SULT1C2,sulfotransferase family 1C member 2,0.01975773903144416,
hepatic_fibrosis,Hepatic fibrosis,SPP1,secreted phosphoprotein 1,0.01902597091916845,
hepatic_fibrosis,Hepatic fibrosis,COL1A1,collagen type I alpha 1 chain,0.01829420280689274,
hepatic_fibrosis,Hepatic fibrosis,ASPN,asporin,0.01829420280689274,
hepatic_fibrosis,Hepatic fibrosis,CA9,carbonic anhydrase 9,0.01756243469461703,
hepatic_fibrosis,Hepatic fibrosis,ALDH3A1,aldehyde dehydrogenase 3 family member A1,0.01756243469461703,
hepatic_fibrosis,Hepatic fibrosis,SOSTDC1,sclerostin domain containing 1,0.01756243469461703,
hepatic_fibrosis,Hepatic fibrosis,KRT20,keratin 20,0.01683066658234132,
hepatic_fibrosis,Hepatic fibrosis,CLDN18,claudin 18,0.01683066658234132,
hepatic_fibrosis,Hepatic fibrosis,ALDH1A1,aldehyde dehydrogenase 1 family member A1,0.01683066658234132,
hepatic_fibrosis,Hepatic fibrosis,INHBA,inhibin subunit beta A,0.01683066658234132,
hepatic_fibrosis,Hepatic fibrosis,THBS2,thrombospondin 2,0.016098898470065612,
hepatic_fibrosis,Hepatic fibrosis,TMPRSS2,transmembrane serine protease 2,0.016098898470065612,
hepatic_fibrosis,Hepatic fibrosis,TCN1,transcobalamin 1,0.016098898470065612,
hepatic_fibrosis,Hepatic fibrosis,MUC6,"mucin 6, oligomeric mucus/gel-forming (gene/pseudogene)",0.016098898470065612,
hepatic_fibrosis,Hepatic fibrosis,SFRP4,secreted frizzled related protein 4,0.016098898470065612,
hepatic_fibrosis,Hepatic fibrosis,JCHAIN,joining chain of multimeric IgA and IgM,0.015367130357789903,
hepatic_fibrosis,Hepatic fibrosis,TIMP1,TIMP metallopeptidase inhibitor 1,0.015367130357789903,
hepatic_fibrosis,Hepatic fibrosis,CAPN9,calpain 9,0.015367130357789903,
hepatic_fibrosis,Hepatic fibrosis,RARRES1,retinoic acid receptor responder 1,0.015367130357789903,
hepatic_fibrosis,Hepatic fibrosis,CTSE,cathepsin E,0.015367130357789903,
hepatic_fibrosis,Hepatic fibrosis,MT1G,metallothionein 1G,0.015367130357789903,
hepatic_fibrosis,Hepatic fibrosis,MT1F,metallothionein 1F,0.014635362245514191,
hepatic_fibrosis,Hepatic fibrosis,PDIA2,protein disulfide isomerase family A member 2,0.014635362245514191,
hepatic_fibrosis,Hepatic fibrosis,DUOX1,dual oxidase 1,0.014635362245514191,
