leader,rank,tanimoto,herb_name,herb_source_botanical,herb_source_korean,herb_cid,herb_smiles,herb_mw,herb_logp,herb_hbd,herb_hba,herb_tpsa,herb_rotbonds,herb_category,herb_target_hint,herb_evidence_level,herb_khp_listed,herb_notes,herb_khp_listed_v2,herb_bokp_barcode,herb_eca233_ratio,herb_clinical_evidence_level_v2,herb_clinical_reference,herb_logkp_predicted,herb_topical_suitability
R12_23,4,0.28,Theaflavin,Camellia sinensis,홍차,135403798,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC4=C(C(=C(C=C4[C@@H]5[C@@H](CC6=C(C=C(C=C6O5)O)O)O)O)O)C(=O)C(=C3)O)O,564.5,2.4,9,12,218.0,2,photoaging+anti-inflam,MMP,pre-clinical,no,,False,,0.0,,,-4.4,poor
R12_23,5,0.244,Procyanidin B2,Malus domestica/사과,-,122738,C1[C@H]([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,578.5,2.4,10,12,221.0,3,alopecia,hair growth,pre-clinical,no,,False,,0.0,,,-4.58,poor
R14_5,1,0.415,Ferulic acid,Angelica sinensis / Cnidium,당귀/천궁,445858,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,194.18,1.5,2,4,66.8,3,scar+photoaging,"antioxidant, COL1A1",clinical+OTC,yes,SkinCeuticals CEF,False,,0.0,RCT (anti-aging),다수,-2.84,medium
R14_5,2,0.407,Curcumin,Curcuma longa,울금,969516,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,368.4,3.2,2,6,93.1,8,scar+anti-inflam,"NFκB, COX-2",clinical(many),no,,True,BOKP-CL-ITS2-004,0.0,RCT (psoriasis),"다수, 광범위",-2.63,medium
R14_5,3,0.278,Glabridin,Glycyrrhiza glabra,감초,124052,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C,324.4,3.9,2,4,58.9,1,pigmentation,Tyrosinase,pre-clinical,no,,False,,0.0,RCT (whitening),PMID:25663985 (Korean cosmeceutical),-1.92,good
R14_5,4,0.269,Silymarin,Silybum marianum,milk thistle,5213,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,482.4,2.4,5,10,155.0,4,wound+anti-inflam,-,clinical,no,,False,,0.0,,,-3.94,medium
R14_5,5,0.269,Calycosin,Astragalus membranaceus,황기,5280448,COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O,284.26,2.4,2,5,76.0,2,photoaging+anti-inflam,-,pre-clinical,yes,,True,BOKP-AM-ITS2-009,0.0,,,-2.64,medium
R13_13,1,0.26,Glabridin,Glycyrrhiza glabra,감초,124052,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C,324.4,3.9,2,4,58.9,1,pigmentation,Tyrosinase,pre-clinical,no,,False,,0.0,RCT (whitening),PMID:25663985 (Korean cosmeceutical),-1.92,good
R13_13,2,0.217,Bakuchiol,Psoralea corylifolia,보골지,5468522,CC(=CCC[C@@](C)(C=C)/C=C/C1=CC=C(C=C1)O)C,256.4,6.1,1,1,20.2,6,photoaging,retinol-like,clinical,no,,False,,0.0,,,0.02,good
R13_13,3,0.217,Naringenin,Citrus,감귤,932,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,272.25,2.4,3,5,87.0,1,photoaging+pigment,Tyrosinase,pre-clinical,no,,False,,0.0,,,-2.69,medium
