plant,lotus_id,wikidata_id,name,smiles,inchikey,molecular_formula,MW,n_atoms,n_rings,npl_score
Morus alba,LTS0095032,Q105269869,"16-hydroxy-6-(6-hydroxy-1-benzofuran-2-yl)-12-methyl-11-oxo-3,13-dioxapentacyclo[10.7.1.0²,¹⁰.0⁴,⁹.0¹⁴,¹⁹]icosa-2(10),4,6,8,14,16,18-heptaen-8-yl 2,4-dihydroxybenzoate",CC12CC(c3ccc(O)cc3O1)c1oc3cc(-c4cc5ccc(O)cc5o4)cc(OC(=O)c4ccc(O)cc4O)c3c1C2=O,UCGIUWUATGREEP-UHFFFAOYSA-N,C34H22O10,590.5337663506531,44,19,1.014142702720078
Morus alba,LTS0199904,Q105243346,"2-[(1s,5s,6r)-6-[2,4-dihydroxy-3-(3-methylbut-2-en-1-yl)benzoyl]-5-(4-hydroxyphenyl)-3-methylcyclohex-2-en-1-yl]-5-(6-hydroxy-1-benzofuran-2-yl)benzene-1,3-diol",CC(C)=CCc1c(O)ccc(C(=O)C2C(c3c(O)cc(-c4cc5ccc(O)cc5o4)cc3O)C=C(C)CC2c2ccc(O)cc2)c1O,RQIKMRKKKIMUNB-SAMPUJIESA-N,C39H36O8,632.6998065330154,47,7,1.0099708165152939
Morus alba,LTS0096980,Q104387703,"(2e)-1-(3-{6-[2,4-dihydroxy-3-(3-methylbut-2-en-1-yl)benzoyl]-5-(4-hydroxyphenyl)-3-methylcyclohex-2-en-1-yl}-2,4-dihydroxyphenyl)-3-(2,4-dihydroxyphenyl)prop-2-en-1-one",CC(C)=CCc1c(O)ccc(C(=O)C2C(c3c(O)ccc(C(=O)C=Cc4ccc(O)cc4O)c3O)C=C(C)CC2c2ccc(O)cc2)c1O,WDCSNUYKXLXPBM-OVCLIPMQSA-N,C40H38O9,662.7258288650244,49,5,1.0191276888252574
Morus alba,LTS0112649,Q104968111,"(2s,3r,4s,5s,6r)-2-{[(3s,4s,5r,6r)-4,5-dihydroxy-6-(hydroxymethyl)piperidin-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",OCC1NCC(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,CQLSQWAVFSEMIE-OQPGPFOOSA-N,C12H23NO9,325.3128156546098,22,2,1.0
Morus alba,LTS0055859,Q105008804,kuwanon b,CC(C)=CCc1c(-c2ccc3c(c2O)C=CC(C)(C)O3)oc2cc(O)cc(O)c2c1=O,GHYDRKXFHRBWGZ-UHFFFAOYSA-N,C25H24O6,420.4554050769353,31,6,1.0
Morus alba,LTS0050760,Q105368916,"2-[(1s,5s,6r)-6-(2,4-dihydroxybenzoyl)-5-(2,4-dihydroxyphenyl)-3-methylcyclohex-2-en-1-yl]-5-[(1e)-2-(2,4-dihydroxyphenyl)ethenyl]benzene-1,3-diol",CC1=CC(c2c(O)cc(C=Cc3ccc(O)cc3O)cc2O)C(C(=O)c2ccc(O)cc2O)C(c2ccc(O)cc2O)C1,YYUHPJKWIHNMSV-UJOAHLBMSA-N,C34H30O9,582.5978874536901,43,5,1.01089833433067
Morus alba,LTS0173678,Q105367082,"8-[(8s,8ar,12ar)-2-(2,4-dihydroxyphenyl)-5-hydroxy-9,9,11-trimethyl-3-(3-methylbut-2-en-1-yl)-4-oxo-8h,8ah,10h,12ah-chromeno[7,8-c]isochromen-8-yl]-2-(2,4-dihydroxyphenyl)-5,7-dihydroxy-3-(3-methylbut-2-en-1-yl)chromen-4-one",CC(C)=CCc1c(-c2ccc(O)cc2O)oc2c3c(cc(O)c2c1=O)OC(c1c(O)cc(O)c2c(=O)c(CC=C(C)C)c(-c4ccc(O)cc4O)oc12)C1C3C=C(C)CC1(C)C,YWQPZNOGOSHEGB-JKZLFOTOSA-N,C50H48O12,840.9108101538702,62,15,1.0
Morus alba,LTS0049151,Q105190196,"(1s,2r,3r,5r)-8-azabicyclo[3.2.1]octane-2,3-diol",OC1CC2CCC(N2)C1O,OEDAMXNBLKMAAL-XZBKPIIZSA-N,C7H13NO2,143.18389413942606,10,3,1.0
Morus alba,LTS0192216,Q105204285,"(2r,3s,4s,5r,6s)-2-(hydroxymethyl)-6-{[(2s)-2-(4-methoxy-2-{[(2s,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)-8-(3-methylbut-2-en-1-yl)-3,4-dihydro-2h-1-benzopyran-7-yl]oxy}oxane-3,4,5-triol",COc1ccc(C2CCc3ccc(OC4OC(CO)C(O)C(O)C4O)c(CC=C(C)C)c3O2)c(OC2OC(CO)C(O)C(O)C2O)c1,OZZNZDSQQZCOEV-YQRMPHATSA-N,C33H44O14,664.6953467483099,47,6,1.0
Morus alba,LTS0191210,Q105208458,"2-(hydroxymethyl)-6-[(3,4,5-trihydroxy-6-{3-hydroxy-4-[2-(3-hydroxy-5-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)ethenyl]phenoxy}oxan-2-yl)methoxy]oxane-3,4,5-triol",OCC1OC(OCC2OC(Oc3ccc(C=Cc4cc(O)cc(OC5OC(CO)C(O)C(O)C5O)c4)c(O)c3)C(O)C(O)C2O)C(O)C(O)C1O,PGKWBTWVSPYRKL-UHFFFAOYSA-N,C32H42O19,730.6657539817172,51,5,1.0
