compound,acne,alopecia,photoaging,pigment,scar,mean_affinity,std_affinity,n_diseases
Imperatorin,0.3778841694196065,0.3201321164766947,0.3715935945510864,0.4047086238861084,0.4531214535236358,0.3854879915714264,0.04864663573026059,5
Phloridzin,,,0.3491589725017547,0.4070872068405151,,0.3781230896711349,0.040961447323100884,2
Hyperforin,,,,,0.3768888711929321,0.3768888711929321,,1
Carnosic acid,0.3909499545892079,0.3881453176339467,0.323631207148234,,0.4006471633911133,0.37584341069062543,0.03521782186043976,4
Beta-Sitosterol,0.454588661591212,0.4345703174670537,0.369557316104571,,0.2419743239879608,0.37517265478769934,0.09593107217293875,4
Caffeic acid,0.2910781453053156,0.3052201966444651,0.4378893176714579,,0.4477220276991526,0.3704774218300978,0.0838129731174898,4
Sulforaphane,0.4467512468496958,0.386662761370341,0.2548175503810246,,0.3689283033212026,0.36428996548056597,0.0802207969016649,4
4-n-butylresorcinol,,,,0.3618109325567881,,0.3618109325567881,,1
Ferulic acid,,,0.3906921645005544,,0.3244462708632151,0.35756921768188477,0.046842920616725375,2
Hexylresorcinol,0.4014196097850799,,,0.3135152260462443,,0.3574674179156621,0.062157785837755115,2
Andrographolide,0.3165491471687953,0.3046424388885498,0.4864627520243327,,0.2912490665912628,0.3497258511682352,0.09174188818135078,4
Betulinic acid,0.3156825403372447,0.2843402822812398,0.397358516852061,,0.3313152194023132,0.3321741397182147,0.04764378775132465,4
Withaferin A,,,,,0.3321006496747334,0.3321006496747334,,1
Schizandrin A,0.3825594087441762,0.2971137066682179,0.343086302280426,,0.292184645930926,0.32873601590593654,0.0425787952867987,4
Tyrosol,,,0.2822629412015279,0.3716354668140411,,0.3269492040077845,0.06319591891237648,2
Azelaic acid,0.1612880776325861,,,0.460207333167394,,0.31074770539999,0.2113678326158971,2
Oleanolic acid,0.3351115783055623,0.283685823281606,0.3509818414847056,,0.2577433337767918,0.30688064421216643,0.043567481127863475,4
Tetrahydroxystilbene glucoside,,0.292772630850474,,,,0.292772630850474,,1
Ursolic acid,0.2676270504792531,0.2795748611291249,0.4264417390028636,,0.1882082199056943,0.29046296762923396,0.09930808908228488,4
Paeoniflorin,,,,,0.2779923230409622,0.2779923230409622,,1
Geniposide,0.2135796745618184,0.307492862145106,0.2728967666625976,,0.2920666933059692,0.27150899916887283,0.04113064441902515,4
Salicylic acid,0.268990342815717,,,,,0.268990342815717,,1
Niacinamide,0.1921791980663935,0.1794216434160868,0.3261193831761678,0.3762383759021759,,0.268489650140206,0.09778781272163009,4
Allantoin from Symphytum,,,,,0.2637301782766978,0.2637301782766978,,1
Calendulin,,,,,0.2588632752497991,0.2588632752497991,,1
Allantoin,,,,,0.2582724591096242,0.2582724591096242,,1
Mulberroside A,,,,0.2536381135384242,,0.2536381135384242,,1
Asiaticoside,,,,,0.245967557032903,0.245967557032903,,1
Madecassic acid,,,,,0.245163748661677,0.245163748661677,,1
Salidroside,0.2307078788677851,0.20372407635053,0.2501924534638722,,0.2808036208152771,0.2413570073743661,0.032474307049069374,4
alpha-Arbutin,,,,0.1925084243218104,,0.1925084243218104,,1
Asiatic acid,,,,,0.1919351319471995,0.1919351319471995,,1
Bisabolol,0.1889042307933171,0.1428085217873255,0.1862383882204691,,0.1451338430245717,0.16577124595642084,0.025213937950786358,4
Linalool,0.1092332030336062,0.1177109256386756,0.1877210736274719,,0.224998190999031,0.15991584832469619,0.055853462783588395,4
Tea tree oil terpinen-4-ol,0.1297634492317835,,,,,0.1297634492317835,,1
Eucalyptol,0.1861846471826235,0.07973213493824,0.1036428039272626,,0.1221934606631596,0.12293826167782143,0.04560608177869063,4
