chembl_id,smiles,ic50_nm,pIC50,relation,doc
CHEMBL126923,O=C(O)[C@H]1[C@H](CN2C(=O)c3ccccc3C2=O)CC[C@@H]1SCCc1ccc(-c2ccccc2)cc1,12.0,7.920818753952375,=,CHEMBL1145069
CHEMBL127138,O=C(O)[C@H]1[C@H](Cn2nc3n(c2=O)CCCCC3)CC[C@@H]1Sc1ccc(-c2ccc(Cl)cc2)cc1,3.8,8.42021640338319,=,CHEMBL1145069
CHEMBL341249,O=C(O)[C@H]1[C@H](Cn2nnc3ccccc3c2=O)CC[C@@H]1S(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1,512.0,6.29073003902417,=,CHEMBL1145069
CHEMBL47728,CSCC[C@@H](C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,0.2,9.698970004336019,=,CHEMBL1132530
CHEMBL75094,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,0.2,9.698970004336019,=,CHEMBL1145069
CHEMBL126461,O=C(NO)C(CCn1nnc2ccccc2c1=O)CSc1ccc(-c2ccc(Cl)cc2)cc1,0.5,9.301029995663981,=,CHEMBL1145069
CHEMBL338877,O=C(O)[C@H]1[C@H](Cn2c(=O)nc3ccccn3c2=O)CC[C@@H]1Sc1ccc(-c2ccc(Cl)cc2)cc1,30.0,7.522878745280337,=,CHEMBL1145069
CHEMBL126977,O=C(O)[C@H]1[C@H](CN2C(=O)c3ccccc3C2=O)CC[C@@H]1Sc1ccc(-c2ccccc2)cc1,76.0,7.119186407719209,=,CHEMBL1145069
CHEMBL127168,N#Cc1ccc(-c2ccc(S[C@H]3CC[C@@H](Cn4c(=O)nc5ccccn5c4=O)[C@@H]3C(=O)O)cc2)cc1,31.0,7.508638306165727,=,CHEMBL1145069
CHEMBL339588,O=C(O)[C@@H]1[C@@H](Cn2nnc3ccccc3c2=O)CC[C@H]1Sc1ccc(-c2ccc(Cl)cc2)cc1,3.0,8.522878745280337,=,CHEMBL1145069
CHEMBL127867,O=C(O)[C@H]1[C@H](Cn2nc3ccccn3c2=O)CC[C@@H]1Sc1ccc(-c2ccc(Cl)cc2)cc1,37.0,7.431798275933005,=,CHEMBL1145069
CHEMBL45357,CC[C@@H](C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(OC)cc1,7.0,8.154901959985743,=,CHEMBL1132530
CHEMBL125104,O=C(O)[C@H]1[C@H](CN2C(=O)c3ccccc3C2=O)CC[C@@H]1SCc1ccc(-c2ccccc2)cc1,3.8,8.42021640338319,=,CHEMBL1145069
CHEMBL340455,O=C(O)[C@H]1[C@H](CN2C(=O)c3ccccc3C2=O)CC[C@@H]1SCCc1ccc(-c2ccc(Cl)cc2)cc1,13.0,7.886056647693163,=,CHEMBL1145069
CHEMBL339315,O=C(O)[C@H]1[C@H](Cn2nnc3ccccc3c2=O)CC[C@@H]1Sc1ccc(-c2c[nH]nn2)cc1,100.0,7.0,>,CHEMBL1145069
CHEMBL337986,O=C(O)[C@H]1[C@H](CN2C(=O)c3ccccc3C2=O)CC[C@@H]1S(=O)(=O)CCc1ccc(-c2ccc(F)cc2)cc1,47.0,7.327902142064283,=,CHEMBL1145069
CHEMBL117225,Cc1cc(CCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N[C@H](C)c2ccccc2)C(C)(C)C)ccc1-c1ccccc1,840.0,6.075720713938118,=,CHEMBL1134203
CHEMBL80272,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(OCC(=O)NO)cccc2C(=O)NO)cc1,2.0,8.698970004336019,=,CHEMBL1133789
CHEMBL310649,COc1ccc(S(=O)(=O)N2CCCN(C(=O)N[C@@H](C)c3ccccc3)CC2C(=O)NO)cc1,9.2,8.036212172654444,=,CHEMBL1130592
CHEMBL311509,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(OC)cccc2C(=O)NO)cc1,23.0,7.638272163982407,=,CHEMBL1133789
CHEMBL311368,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(C(=O)NO)cccc2[N+](=O)[O-])cc1,13.0,7.886056647693163,=,CHEMBL1133789
CHEMBL539787,COc1ccc(S(=O)(=O)N2CCCNCC2C(=O)NO)cc1.Cl,60.0,7.221848749616356,=,CHEMBL1130592
CHEMBL327621,COc1ccc(S(=O)(=O)N2CCCN(C(=O)c3ccccc3)CC2C(=O)NO)cc1,2.0,8.698970004336019,=,CHEMBL1130592
CHEMBL76606,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(C)cccc2C(=O)NO)cc1,23.0,7.638272163982407,=,CHEMBL1133789
