efo,disease,symbol,ensembl,score
EFO_0008502,hepatic_fibrosis,ANXA10,ENSG00000109511,0.02488011581737412
EFO_0008502,hepatic_fibrosis,MUC5AC,ENSG00000215182,0.024148347705098414
EFO_0008502,hepatic_fibrosis,CA2,ENSG00000104267,0.022684811480546997
EFO_0008502,hepatic_fibrosis,KCNJ16,ENSG00000153822,0.022684811480546997
EFO_0008502,hepatic_fibrosis,REG1A,ENSG00000115386,0.022684811480546997
EFO_0008502,hepatic_fibrosis,ESRRG,ENSG00000196482,0.021953043368271283
EFO_0008502,hepatic_fibrosis,LTF,ENSG00000012223,0.021953043368271283
EFO_0008502,hepatic_fibrosis,SST,ENSG00000157005,0.021221275255995577
EFO_0008502,hepatic_fibrosis,MT1M,ENSG00000205364,0.020489507143719863
EFO_0008502,hepatic_fibrosis,AZGP1,ENSG00000160862,0.020489507143719863
EFO_0008502,hepatic_fibrosis,CPA2,ENSG00000158516,0.01975773903144416
EFO_0008502,hepatic_fibrosis,SULF1,ENSG00000137573,0.01975773903144416
EFO_0008502,hepatic_fibrosis,SULT1C2,ENSG00000198203,0.01975773903144416
EFO_0008502,hepatic_fibrosis,REG3A,ENSG00000172016,0.01975773903144416
EFO_0008502,hepatic_fibrosis,SPP1,ENSG00000118785,0.01902597091916845
EFO_0008502,hepatic_fibrosis,COL1A1,ENSG00000108821,0.01829420280689274
EFO_0008502,hepatic_fibrosis,ASPN,ENSG00000106819,0.01829420280689274
EFO_0008502,hepatic_fibrosis,SOSTDC1,ENSG00000171243,0.01756243469461703
MONDO_0019588,androgenetic_alopecia,OTOF,ENSG00000115155,0.8533358131756651
MONDO_0019588,androgenetic_alopecia,SLC26A4,ENSG00000091137,0.841232510345364
MONDO_0019588,androgenetic_alopecia,MYO7A,ENSG00000137474,0.8073185722635352
MONDO_0019588,androgenetic_alopecia,TMC1,ENSG00000165091,0.7902815749196249
MONDO_0019588,androgenetic_alopecia,COL11A2,ENSG00000204248,0.7897801371529207
MONDO_0019588,androgenetic_alopecia,GJB2,ENSG00000165474,0.7679797625132458
MONDO_0019588,androgenetic_alopecia,PDZD7,ENSG00000186862,0.767898843922299
MONDO_0019588,androgenetic_alopecia,PNPT1,ENSG00000138035,0.7645993507130988
MONDO_0019588,androgenetic_alopecia,USH1C,ENSG00000006611,0.762033813845523
MONDO_0019588,androgenetic_alopecia,TBC1D24,ENSG00000162065,0.7566244943337967
MONDO_0019588,androgenetic_alopecia,CDH23,ENSG00000107736,0.7539022775340342
MONDO_0019588,androgenetic_alopecia,TRIOBP,ENSG00000100106,0.7524098454256187
MONDO_0019588,androgenetic_alopecia,TMPRSS3,ENSG00000160183,0.7436277999859121
MONDO_0019588,androgenetic_alopecia,LRTOMT,ENSG00000284922,0.7428509415518237
MONDO_0019588,androgenetic_alopecia,MYO15A,ENSG00000091536,0.7406646007195796
MONDO_0019588,androgenetic_alopecia,PCDH15,ENSG00000150275,0.7400727825355541
MONDO_0019588,androgenetic_alopecia,TOMT,ENSG00000284844,0.7397967468923667
MONDO_0019588,androgenetic_alopecia,LOXHD1,ENSG00000167210,0.7377491426445567
MONDO_0019588,androgenetic_alopecia,OTOGL,ENSG00000165899,0.737026561021507
MONDO_0019588,androgenetic_alopecia,TECTA,ENSG00000109927,0.7355104577376594
MONDO_0019588,androgenetic_alopecia,MARVELD2,ENSG00000152939,0.7338642298186844
MONDO_0019588,androgenetic_alopecia,STRC,ENSG00000242866,0.7311069437099886
MONDO_0019588,androgenetic_alopecia,OTOA,ENSG00000155719,0.7233651303086466
MONDO_0019588,androgenetic_alopecia,PTPRQ,ENSG00000139304,0.7211669406164479
MONDO_0019588,androgenetic_alopecia,ILDR1,ENSG00000145103,0.7190640106857261
MONDO_0019588,androgenetic_alopecia,MYO3A,ENSG00000095777,0.7180920783932704
MONDO_0019588,androgenetic_alopecia,WHRN,ENSG00000095397,0.7178459995192447
MONDO_0019588,androgenetic_alopecia,LHFPL5,ENSG00000197753,0.714918868946083
MONDO_0019588,androgenetic_alopecia,MYO6,ENSG00000196586,0.7148699909510529
MONDO_0019588,androgenetic_alopecia,CIB2,ENSG00000136425,0.7121370754937746
EFO_0003884,melasma,ACE,ENSG00000159640,0.7672049432455652
EFO_0003884,melasma,PKD1,ENSG00000008710,0.7045141936576822
EFO_0003884,melasma,PKD2,ENSG00000118762,0.6677693496861989
EFO_0003884,melasma,UMOD,ENSG00000169344,0.6485134092796517
EFO_0003884,melasma,SLC12A3,ENSG00000070915,0.6289001741177634
EFO_0003884,melasma,SLC5A2,ENSG00000140675,0.6275249787074055
EFO_0003884,melasma,VDR,ENSG00000111424,0.6252254722181178
EFO_0003884,melasma,EPOR,ENSG00000187266,0.6147738863689863
EFO_0003884,melasma,AGTR1,ENSG00000144891,0.6101742151455805
EFO_0003884,melasma,NR3C2,ENSG00000151623,0.5978307273593501
EFO_0003884,melasma,CASR,ENSG00000036828,0.5947590939523809
EFO_0003884,melasma,CFHR5,ENSG00000134389,0.5909499024771451
EFO_0003884,melasma,EGLN1,ENSG00000135766,0.5897967317151598
EFO_0003884,melasma,EGLN2,ENSG00000269858,0.588336544792508
EFO_0003884,melasma,EGLN3,ENSG00000129521,0.5878187223516664
EFO_0003884,melasma,P4HTM,ENSG00000178467,0.5776728168735111
EFO_0003884,melasma,GHR,ENSG00000112964,0.5673945671971876
EFO_0003884,melasma,COL4A3,ENSG00000169031,0.5638346912361473
EFO_0003884,melasma,TCF7L2,ENSG00000148737,0.5398643821604319
EFO_0003884,melasma,APOL1,ENSG00000100342,0.537015377916843
EFO_0003884,melasma,SLC22A2,ENSG00000112499,0.5355309041850166
EFO_0003884,melasma,WDR72,ENSG00000166415,0.5311405906157053
EFO_0003884,melasma,NFATC1,ENSG00000131196,0.515438628443375
EFO_0003884,melasma,PDILT,ENSG00000169340,0.504192971317825
EFO_0003884,melasma,INS,ENSG00000254647,0.49470479536502904
EFO_0003884,melasma,FGF5,ENSG00000138675,0.49347017412446
EFO_0003884,melasma,TPPP,ENSG00000171368,0.4931604729120892
EFO_0003884,melasma,FTO,ENSG00000140718,0.48248611388451557
EFO_0003884,melasma,SLC5A1,ENSG00000100170,0.48225314233050703
EFO_0003884,melasma,IGF2BP2,ENSG00000073792,0.47956596407580065
