,Beta-Sitosterol,Hyperforin,Lupeol,Oleanolic acid,Betulinic acid,Ursolic acid,Bakuchiol,Retinol,Tretinoin,Epimedin C,Rapanone,Bisabolol,Tetrahydroxystilbene glucoside,Calendulin,Honokiol,Embelin,5-O-methyl-Embelin,Tanshinone IIA,Magnolol,Imperatorin,Licochalcone A,Hexylresorcinol,3-decyl-2-5-dihydroxy-benzoquinone,alpha-Arbutin,Carnosic acid,Carnosol,Eucalyptol,Pterostilbene,Linalool,Glabridin,Tea tree oil terpinen-4-ol,Capsaicin,Menthol,Kazinol B,Schizandrin A,Resveratrol,Cryptotanshinone,Formononetin,Asiatic acid,Daidzein,Oxyresveratrol,Calycosin,Wogonin,EMB-3,4-n-butylresorcinol,Azelaic acid,Genistein,Baicalein,Apigenin,Berberine,Curcumin,Paeonol,Naringenin,Acetylshikonin,Hydroquinone,Palmatine,Biochanin A,Phloretin,Salicylic acid,2-hydroxy-naphthoquinone,Ferulic acid,Physcion,Tyrosol,Sulforaphane,Spirulina-derived phycocyanin,Asiaticoside,Madecassic acid,Caffeic acid,Shikonin,Emodin,Thujin,Quercetin,Finasteride,Withaferin A,Hydroxytyrosol,Niacinamide,Rhein,Epicatechin,Aloe-emodin,Andrographolide,Ellagic acid,Epigallocatechin,Kojic acid,4-Methoxyresorcinol,EGCG,Silymarin,Procyanidin B2,Marimastat,Avenanthramide B,Theaflavin,Salvianolic acid B,Polydatin,Byakangelicin,Mulberroside A,Liquiritin,Ascorbic acid,Allantoin from Symphytum,Allantoin,Chlorogenic acid,Baicalin,Puerarin,Arbutin,Phloridzin,Salidroside,Aloin,Geniposide,Mangiferin,Saponin Re,Ginsenoside Rg1,Ginsenoside Rg3,Madecassoside,Sennoside A,Mogroside V,Glycyrrhizin,Icariin,Saikosaponin A,Hesperidin,Acteoside (Verbascoside),Paeoniflorin,Avenanthramide A,Punicalagin,Astragaloside IV,Ginsenoside Rb1,Crocin
Pterostilbene,0.06944445,0.08219178,0.029850746,0.072463766,0.027777778,0.07042254,0.31111112,0.084745765,0.084745765,0.0882353,0.125,0.11111111,0.17021276,0.07272727,0.14285715,0.125,0.18367347,0.084745765,0.13157895,0.14035088,0.2777778,0.21428572,0.125,0.027027028,0.09677419,0.0952381,0.023809524,1.0,0.06818182,0.14285715,0.08888889,0.18644068,0.045454547,0.18333334,0.125,0.6296296,0.07936508,0.29166666,0.065789476,0.19565217,0.4,0.2264151,0.1923077,0.10869565,0.06666667,0.027777778,0.1875,0.11764706,0.19148937,0.12698413,0.33333334,0.35135135,0.18,0.1521739,0.32,0.12903225,0.25,0.23809524,0.13157895,0.11904762,0.34146342,0.34146342,0.23529412,0.021276595,0.13043478,0.06410257,0.06410257,0.25641027,0.15384616,0.18604651,0.1590909,0.13461539,0.05882353,0.046511628,0.15384616,0.093023255,0.14285715,0.13207547,0.14285715,0.055555556,0.11627907,0.115384616,0.14634146,0.13636364,0.11666667,0.16176471,0.10606061,0.03508772,0.097222224,0.09090909,0.12162162,0.40425533,0.06349207,0.056338027,0.14925373,0.0625,0.04255319,0.04255319,0.20689656,0.11940298,0.140625,0.2173913,0.17741935,0.1764706,0.109375,0.08571429,0.078125,0.06593407,0.069767445,0.054945055,0.056074765,0.114285715,0.15789473,0.07777778,0.16049382,0.04040404,0.15189873,0.16883117,0.074074075,0.06097561,0.04195804,0.041666668,0.06185567,0.060606062
Linalool,0.072463766,0.15151516,0.1,0.04411765,0.07575758,0.042857144,0.43589744,0.12962963,0.08928572,0.028985508,0.0625,0.3902439,0.083333336,0.07692308,0.104166664,0.0625,0.057692308,0.033898305,0.0375,0.14814815,0.13793103,0.06666667,0.0625,0.060606062,0.031746034,0.04761905,0.025641026,0.06818182,1.0,0.029850746,0.069767445,0.08064516,0.075,0.13333334,0.016949153,0.051282052,0.048387095,0.03508772,0.054054055,0.019607844,0.045454547,0.033333335,0.03508772,0.09090909,0.0,0.0625,0.018867925,0.018867925,0.01923077,0.014925373,0.104166664,0.06818182,0.018181818,0.08695652,0.03448276,0.015151516,0.033333335,0.04255319,0.025641026,0.023255814,0.083333336,0.083333336,0.054054055,0.046511628,0.013513514,0.05263158,0.05263158,0.069767445,0.1632653,0.06666667,0.021276595,0.018181818,0.06153846,0.06097561,0.05,0.023255814,0.01923077,0.036363635,0.039215688,0.08955224,0.022727273,0.03773585,0.04761905,0.06818182,0.015873017,0.055555556,0.029411765,0.12,0.04109589,0.029850746,0.038961038,0.0862069,0.032258064,0.028571429,0.04225352,0.06666667,0.022222223,0.022222223,0.06349207,0.04347826,0.04477612,0.06,0.060606062,0.055555556,0.046153847,0.073529415,0.04761905,0.175,0.18666667,0.1923077,0.03773585,0.041666668,0.049382716,0.056179777,0.09638554,0.05263158,0.04761905,0.074074075,0.06329114,0.024390243,0.073529415,0.10227273,0.1627907,0.11666667
Glabridin,0.125,0.097826086,0.07058824,0.09090909,0.06666667,0.11363637,0.10958904,0.075,0.075,0.06666667,0.07042254,0.078947365,0.08450704,0.125,0.13043478,0.07042254,0.06666667,0.116883114,0.18681319,0.115384616,0.12345679,0.19672132,0.07042254,0.016949153,0.16883117,0.18181819,0.10169491,0.14285715,0.029850746,1.0,0.109375,0.12195122,0.07936508,0.20779221,0.16438356,0.13793103,0.15384616,0.16666667,0.10752688,0.16666667,0.18333334,0.17567568,0.12,0.057971016,0.11111111,0.01724138,0.17910448,0.112676054,0.18181819,0.14814815,0.114285715,0.14285715,0.24615385,0.15384616,0.14583333,0.13580246,0.22535211,0.15625,0.10169491,0.13114753,0.11594203,0.14925373,0.12280702,0.014492754,0.1764706,0.10526316,0.10526316,0.109375,0.10810811,0.17741935,0.073529415,0.15714286,0.08045977,0.13131313,0.11666667,0.06153846,0.13043478,0.20588236,0.13043478,0.11363637,0.11111111,0.19402985,0.11290322,0.09090909,0.17105263,0.16091955,0.1875,0.03846154,0.21686748,0.18987341,0.12903225,0.12820514,0.085365854,0.12790698,0.17857143,0.08955224,0.05970149,0.05970149,0.12195122,0.08988764,0.14457831,0.13043478,0.14457831,0.12328767,0.13414635,0.08888889,0.09638554,0.072072074,0.0754717,0.07272727,0.088709675,0.123595506,0.12244898,0.08181818,0.104761906,0.077586204,0.15306123,0.09803922,0.1010101,0.12371134,0.06875,0.07017544,0.06837607,0.045454547
Tea tree oil terpinen-4-ol,0.15151516,0.09859155,0.07936508,0.12307692,0.073529415,0.11940298,0.074074075,0.14545454,0.14545454,0.057971016,0.08163265,0.20408164,0.08,0.18367347,0.057692308,0.08163265,0.0754717,0.14545454,0.08974359,0.06666667,0.0625,0.08695652,0.08163265,0.027777778,0.1754386,0.15254237,0.10526316,0.08888889,0.069767445,0.109375,1.0,0.0952381,0.125,0.07692308,0.0877193,0.075,0.13559322,0.07017544,0.11111111,0.05882353,0.06666667,0.06666667,0.07017544,0.08695652,0.093023255,0.028571429,0.056603774,0.056603774,0.057692308,0.09375,0.078431375,0.08888889,0.074074075,0.10638298,0.10344828,0.06153846,0.084745765,0.0625,0.07692308,0.0952381,0.08,0.10204082,0.078947365,0.02173913,0.04054054,0.10810811,0.10810811,0.06666667,0.09259259,0.11111111,0.08695652,0.054545455,0.12698413,0.14102565,0.07317073,0.069767445,0.057692308,0.07272727,0.057692308,0.10294118,0.06818182,0.0754717,0.069767445,0.08888889,0.06451613,0.054054055,0.05882353,0.074074075,0.06849315,0.05970149,0.064935066,0.048387095,0.06451613,0.121212125,0.055555556,0.06382979,0.06666667,0.06666667,0.0952381,0.04225352,0.04347826,0.057692308,0.04347826,0.05357143,0.060606062,0.08695652,0.046153847,0.06666667,0.07058824,0.06741573,0.07692308,0.04054054,0.04819277,0.09090909,0.04494382,0.0625,0.05882353,0.047058824,0.088607594,0.061728396,0.0647482,0.05319149,0.0625,0.045454547
Capsaicin,0.11494253,0.125,0.034883723,0.06818182,0.056179777,0.06666667,0.14492753,0.06329114,0.07692308,0.093023255,0.121212125,0.09589041,0.15384616,0.08219178,0.1875,0.121212125,0.2,0.07692308,0.17777778,0.16438356,0.21917808,0.16393442,0.121212125,0.054545455,0.12820514,0.12658228,0.016129032,0.18644068,0.08064516,0.12195122,0.0952381,1.0,0.06451613,0.1375,0.1369863,0.14285715,0.07317073,0.15492958,0.07446808,0.10294118,0.15,0.1971831,0.1884058,0.109375,0.0625,0.14,0.11594203,0.13235295,0.11764706,0.15189873,0.38181818,0.25,0.112676054,0.12307692,0.104166664,0.15384616,0.16438356,0.22033899,0.16666667,0.11666667,0.3392857,0.171875,0.14814815,0.07936508,0.11363637,0.072916664,0.072916664,0.18965517,0.19402985,0.12698413,0.18333334,0.12857144,0.08235294,0.078431375,0.2037037,0.09836066,0.13432837,0.11111111,0.15151516,0.06666667,0.114754096,0.083333336,0.13559322,0.14754099,0.115384616,0.22222222,0.09411765,0.112676054,0.08791209,0.0952381,0.18390805,0.116883114,0.074074075,0.055555556,0.10227273,0.092307694,0.078125,0.078125,0.15384616,0.14457831,0.10714286,0.10144927,0.1923077,0.12676056,0.1375,0.11627907,0.09876543,0.07339449,0.07692308,0.074074075,0.064,0.15294118,0.16129032,0.083333336,0.17525773,0.051282052,0.15625,0.17021276,0.10309278,0.08080808,0.12666667,0.05263158,0.069565214,0.084337346
Menthol,0.12307692,0.10294118,0.10169491,0.09375,0.09375,0.10769231,0.057692308,0.05263158,0.05263158,0.060606062,0.041666668,0.12,0.040816326,0.1,0.019607844,0.041666668,0.03846154,0.03448276,0.051282052,0.05172414,0.031746034,0.044444446,0.041666668,0.030303031,0.12280702,0.12068965,0.114285715,0.045454547,0.075,0.07936508,0.125,0.06451613,1.0,0.08064516,0.07272727,0.025641026,0.06666667,0.035714287,0.11594203,0.02,0.022727273,0.033898305,0.035714287,0.044444446,0.023255814,0.03125,0.01923077,0.01923077,0.019607844,0.046875,0.04,0.045454547,0.057692308,0.04255319,0.035714287,0.03125,0.07017544,0.021276595,0.02631579,0.023809524,0.040816326,0.040816326,0.027027028,0.023255814,0.027777778,0.112676054,0.112676054,0.022727273,0.09803922,0.044444446,0.02173913,0.018518519,0.07936508,0.116883114,0.025,0.023809524,0.019607844,0.09803922,0.019607844,0.09090909,0.023255814,0.10204082,0.023809524,0.069767445,0.05,0.056338027,0.078125,0.078431375,0.071428575,0.07936508,0.039473683,0.050847456,0.06779661,0.092307694,0.057971016,0.093023255,0.046511628,0.046511628,0.08196721,0.04411765,0.045454547,0.06122449,0.045454547,0.056603774,0.046875,0.07462686,0.048387095,0.09411765,0.1,0.0952381,0.09,0.04225352,0.07692308,0.06896552,0.05882353,0.07608695,0.0875,0.061728396,0.06410257,0.050632913,0.074074075,0.09090909,0.1,0.08196721
Kazinol B,0.11363637,0.1904762,0.084337346,0.10465116,0.07954545,0.08988764,0.23076923,0.103896104,0.08974359,0.07954545,0.11940298,0.17391305,0.08571429,0.14285715,0.14925373,0.11940298,0.112676054,0.118421055,0.15053764,0.22857143,0.16883117,0.18032786,0.11940298,0.03508772,0.14102565,0.18421052,0.06666667,0.18333334,0.13333334,0.20779221,0.07692308,0.1375,0.08064516,1.0,0.13513513,0.18181819,0.15584415,0.16901408,0.09677419,0.1875,0.16666667,0.1780822,0.16901408,0.10769231,0.15,0.054545455,0.2,0.18181819,0.22222222,0.0952381,0.16666667,0.20338982,0.5686275,0.17460318,0.17391305,0.09638554,0.2647059,0.19672132,0.12280702,0.15254237,0.15151516,0.16923077,0.16666667,0.045454547,0.25316456,0.094736844,0.094736844,0.14754099,0.24615385,0.18032786,0.10769231,0.19402985,0.08139535,0.13265306,0.15789473,0.07936508,0.14925373,0.265625,0.16666667,0.14117648,0.16949153,0.25396827,0.1724138,0.12698413,0.23943663,0.2658228,0.22077923,0.05263158,0.2195122,0.24,0.18181819,0.19178082,0.1,0.12941177,0.3611111,0.16129032,0.07692308,0.07692308,0.15189873,0.17073171,0.20512821,0.18461539,0.18987341,0.17391305,0.17948718,0.11494253,0.16883117,0.11320755,0.11881188,0.114285715,0.08064516,0.16470589,0.17204301,0.11320755,0.25,0.0877193,0.3493976,0.15625,0.11340206,0.17391305,0.08280255,0.07079646,0.10714286,0.12345679
Schizandrin A,0.071428575,0.057471264,0.03797468,0.06097561,0.035714287,0.085365854,0.04347826,0.08450704,0.06944445,0.06097561,0.06349207,0.08955224,0.046153847,0.125,0.078125,0.046875,0.092307694,0.11594203,0.26923078,0.09859155,0.1388889,0.084745765,0.046875,0.02,0.10958904,0.093333334,0.07692308,0.125,0.016949153,0.16438356,0.0877193,0.1369863,0.07272727,0.13513513,1.0,0.0754717,0.15714286,0.11940298,0.08045977,0.0625,0.06896552,0.14705883,0.15384616,0.04918033,0.12962963,0.0,0.060606062,0.060606062,0.06153846,0.33333334,0.15,0.125,0.14285715,0.08196721,0.045454547,0.31746033,0.2,0.048387095,0.037037037,0.05263158,0.15254237,0.13333334,0.03773585,0.033898305,0.083333336,0.10344828,0.10344828,0.050847456,0.057971016,0.084745765,0.33333334,0.05882353,0.07594936,0.072916664,0.054545455,0.03448276,0.06153846,0.12307692,0.06153846,0.085365854,0.08928572,0.12698413,0.071428575,0.05,0.12676056,0.17948718,0.116883114,0.014084507,0.10843374,0.103896104,0.07865169,0.08219178,0.06666667,0.1,0.11111111,0.04918033,0.033333335,0.033333335,0.09210526,0.086419754,0.061728396,0.078125,0.088607594,0.073529415,0.07692308,0.09876543,0.064935066,0.067961164,0.071428575,0.068627454,0.09565217,0.09638554,0.13483146,0.078431375,0.12631579,0.074074075,0.18181819,0.08421053,0.07526882,0.11111111,0.045161292,0.06603774,0.06422018,0.050632913
Resveratrol,0.05970149,0.073529415,0.016129032,0.046153847,0.014925373,0.04477612,0.325,0.074074075,0.074074075,0.07936508,0.11627907,0.10204082,0.19512194,0.06,0.1627907,0.11627907,0.13043478,0.074074075,0.09589041,0.13461539,0.23529412,0.21621622,0.11627907,0.0,0.0877193,0.0862069,0.0,0.6296296,0.051282052,0.13793103,0.075,0.14285715,0.025641026,0.18181819,0.0754717,1.0,0.06896552,0.19148937,0.041666668,0.225,0.5925926,0.18,0.14285715,0.09756097,0.07692308,0.033333335,0.24390244,0.13333334,0.25,0.083333336,0.2820513,0.22222222,0.23255815,0.175,0.42105263,0.084745765,0.18,0.2777778,0.15625,0.1388889,0.28947368,0.225,0.2857143,0.0,0.16129032,0.04054054,0.04054054,0.3030303,0.14893617,0.21621622,0.09756097,0.17777778,0.03125,0.037037037,0.18181819,0.10810811,0.1627907,0.17391305,0.1627907,0.04477612,0.13513513,0.15555556,0.17142858,0.12820514,0.1509434,0.140625,0.13559322,0.01923077,0.12307692,0.118644066,0.13235295,0.42857143,0.07017544,0.045454547,0.14516129,0.071428575,0.048780486,0.048780486,0.20754717,0.13114753,0.15517241,0.2195122,0.19642857,0.2,0.12068965,0.060606062,0.0862069,0.058139537,0.061728396,0.046511628,0.03883495,0.125,0.10810811,0.058139537,0.1,0.031914894,0.103896104,0.15068494,0.065789476,0.065789476,0.036231883,0.032967035,0.054347824,0.04918033
Cryptotanshinone,0.11764706,0.12790698,0.101265825,0.10843374,0.0952381,0.11904762,0.06944445,0.17142858,0.1884058,0.08235294,0.14285715,0.114285715,0.042857144,0.203125,0.0882353,0.125,0.11764706,0.5769231,0.083333336,0.15277778,0.06097561,0.0952381,0.125,0.037037037,0.14666666,0.16,0.12962963,0.07936508,0.048387095,0.15384616,0.13559322,0.07317073,0.06666667,0.15584415,0.15714286,0.06896552,1.0,0.12676056,0.11235955,0.12307692,0.06349207,0.12162162,0.09589041,0.13114753,0.17857143,0.03773585,0.11940298,0.10294118,0.104477614,0.14102565,0.072463766,0.07936508,0.13235295,0.14516129,0.0625,0.12820514,0.18571429,0.060606062,0.07017544,0.12068965,0.073529415,0.15873016,0.05263158,0.04761905,0.09090909,0.10989011,0.10989011,0.06349207,0.14705883,0.15,0.11290322,0.1,0.125,0.14893617,0.05,0.06557377,0.121212125,0.09859155,0.121212125,0.16049382,0.08196721,0.08571429,0.083333336,0.09677419,0.118421055,0.10227273,0.083333336,0.04054054,0.08988764,0.11111111,0.07446808,0.07692308,0.08974359,0.14814815,0.11764706,0.078125,0.08064516,0.08064516,0.086419754,0.09411765,0.09638554,0.072463766,0.07058824,0.06849315,0.1125,0.08045977,0.0875,0.08490566,0.089108914,0.08571429,0.09166667,0.10344828,0.104166664,0.12745099,0.10891089,0.08035714,0.1122449,0.08,0.10526316,0.11702128,0.077419356,0.07272727,0.08035714,0.060240965
Formononetin,0.072289154,0.07058824,0.025316456,0.075,0.036144577,0.07317073,0.12698413,0.055555556,0.055555556,0.102564104,0.118644066,0.05882353,0.06349207,0.092307694,0.15254237,0.118644066,0.16666667,0.15151516,0.12643678,0.16666667,0.20895523,0.18867925,0.118644066,0.020408163,0.09589041,0.125,0.03773585,0.29166666,0.03508772,0.16666667,0.07017544,0.15492958,0.035714287,0.16901408,0.11940298,0.19148937,0.12676056,1.0,0.08139535,0.7631579,0.19607843,0.7111111,0.23333333,0.10526316,0.13207547,0.04255319,0.5,0.18965517,0.28301886,0.15277778,0.21428572,0.31914893,0.18333334,0.25,0.18421052,0.12328767,0.30508474,0.18518518,0.12244898,0.15686275,0.21818182,0.28846154,0.17391305,0.05263158,0.16883117,0.07954545,0.07954545,0.1509434,0.125,0.18867925,0.18867925,0.26785713,0.06329114,0.08510638,0.14,0.09259259,0.15254237,0.125,0.1724138,0.086419754,0.1764706,0.11111111,0.22916667,0.10714286,0.14492753,0.19736843,0.103896104,0.04411765,0.09638554,0.15068494,0.11764706,0.18181819,0.053333335,0.0875,0.2361111,0.125,0.07017544,0.07017544,0.1388889,0.17567568,0.30769232,0.21428572,0.18055555,0.16129032,0.1369863,0.11392405,0.17391305,0.058252428,0.06122449,0.05882353,0.077586204,0.1392405,0.2195122,0.09,0.24705882,0.055045873,0.17045455,0.14606741,0.1,0.11235955,0.052287582,0.046728972,0.055045873,0.078947365
Asiatic acid,0.16129032,0.13402061,0.1627907,0.47887325,0.26506025,0.671875,0.071428575,0.10465116,0.11764706,0.09375,0.07594936,0.1375,0.061728396,0.1392405,0.04819277,0.07594936,0.072289154,0.10465116,0.054054055,0.07865169,0.06382979,0.078947365,0.07594936,0.029850746,0.19277108,0.13636364,0.13846155,0.065789476,0.054054055,0.10752688,0.11111111,0.07446808,0.11594203,0.09677419,0.08045977,0.041666668,0.11235955,0.08139535,1.0,0.061728396,0.05263158,0.054945055,0.06896552,0.064935066,0.053333335,0.09677419,0.07317073,0.060240965,0.06097561,0.040816326,0.0875,0.0945946,0.084337346,0.07692308,0.04918033,0.052083332,0.10344828,0.10666667,0.0882353,0.054054055,0.088607594,0.075,0.073529415,0.039473683,0.068627454,0.8095238,0.8095238,0.08108108,0.09638554,0.078947365,0.051282052,0.05882353,0.13186814,0.15238096,0.07042254,0.06849315,0.074074075,0.09638554,0.074074075,0.2159091,0.067567565,0.09876543,0.083333336,0.125,0.08888889,0.1,0.083333336,0.05882353,0.089108914,0.095744684,0.08571429,0.07777778,0.101123594,0.13978495,0.09090909,0.10810811,0.08108108,0.08108108,0.16091955,0.0927835,0.083333336,0.0875,0.11827957,0.083333336,0.08510638,0.15053764,0.08695652,0.17431192,0.1826923,0.17592593,0.48453608,0.1122449,0.09174312,0.24271844,0.10619469,0.21818182,0.0990991,0.12037037,0.15686275,0.07272727,0.10429448,0.12931034,0.16521738,0.086021505
Daidzein,0.064935066,0.06329114,0.01369863,0.053333335,0.025974026,0.051948052,0.14285715,0.045454547,0.045454547,0.067567565,0.11320755,0.048387095,0.071428575,0.084745765,0.17307693,0.11320755,0.10526316,0.15,0.083333336,0.14754099,0.17460318,0.19148937,0.11320755,0.0,0.08955224,0.121212125,0.021276595,0.19565217,0.019607844,0.16666667,0.05882353,0.10294118,0.02,0.1875,0.0625,0.225,0.12307692,0.7631579,0.061728396,1.0,0.2,0.6666667,0.1754386,0.09803922,0.1521739,0.05,0.6315789,0.21568628,0.35555556,0.10144927,0.1509434,0.17021276,0.23076923,0.26086956,0.26666668,0.071428575,0.16666667,0.21276596,0.14285715,0.18181819,0.15384616,0.1764706,0.23684211,0.039215688,0.20289855,0.060240965,0.060240965,0.17391305,0.12068965,0.19148937,0.12,0.30612245,0.05479452,0.07954545,0.1627907,0.10638298,0.17307693,0.14035088,0.19607843,0.08,0.20454545,0.125,0.2682927,0.1,0.14285715,0.15068494,0.114285715,0.032258064,0.10526316,0.16666667,0.11392405,0.18333334,0.05882353,0.08108108,0.20588236,0.14285715,0.08,0.08,0.11940298,0.1764706,0.36842105,0.19607843,0.18181819,0.18181819,0.15151516,0.08,0.19354838,0.040816326,0.043010753,0.041237112,0.05357143,0.1369863,0.1625,0.0625,0.15116279,0.03846154,0.11627907,0.11764706,0.08235294,0.12195122,0.04054054,0.029411765,0.03846154,0.056338027
Oxyresveratrol,0.055555556,0.06849315,0.014925373,0.042857144,0.013888889,0.056338027,0.20833333,0.06779661,0.06779661,0.073529415,0.104166664,0.09259259,0.14893617,0.054545455,0.17021276,0.104166664,0.11764706,0.06779661,0.103896104,0.14285715,0.23636363,0.2820513,0.104166664,0.0,0.08064516,0.07936508,0.0,0.4,0.045454547,0.18333334,0.06666667,0.15,0.022727273,0.16666667,0.06896552,0.5925926,0.06349207,0.19607843,0.05263158,0.2,1.0,0.20754717,0.1509434,0.08695652,0.06818182,0.028571429,0.24444444,0.14285715,0.25,0.07692308,0.25,0.225,0.23404256,0.20930232,0.28,0.078125,0.20754717,0.275,0.16666667,0.15,0.25581396,0.22727273,0.20588236,0.0,0.16666667,0.051282052,0.051282052,0.2631579,0.15686275,0.25,0.08695652,0.20833333,0.028985508,0.034883723,0.1891892,0.0952381,0.17021276,0.20408164,0.17021276,0.041666668,0.14634146,0.1875,0.15,0.13953489,0.17857143,0.1641791,0.16129032,0.01754386,0.14705883,0.14516129,0.17142858,0.3,0.06451613,0.04225352,0.15151516,0.06382979,0.04347826,0.04347826,0.18965517,0.121212125,0.14285715,0.17021276,0.2,0.15686275,0.12903225,0.056338027,0.09677419,0.04347826,0.04597701,0.043956045,0.056603774,0.13235295,0.12987013,0.054945055,0.12048193,0.040816326,0.125,0.15584415,0.061728396,0.075,0.034965035,0.042105265,0.040816326,0.045454547
Calycosin,0.069767445,0.06818182,0.024390243,0.05952381,0.034883723,0.058139537,0.121212125,0.039473683,0.053333335,0.085365854,0.11290322,0.056338027,0.060606062,0.0882353,0.18333334,0.11290322,0.15873016,0.14492753,0.16091955,0.1764706,0.25373134,0.2,0.11290322,0.01923077,0.09210526,0.12,0.035714287,0.2264151,0.033333335,0.17567568,0.06666667,0.1971831,0.033898305,0.1780822,0.14705883,0.18,0.12162162,0.7111111,0.054945055,0.6666667,0.20754717,1.0,0.24193548,0.1,0.125,0.04,0.46938777,0.2,0.29090908,0.19444445,0.26785713,0.25,0.19354838,0.25925925,0.17073171,0.16438356,0.23076923,0.1754386,0.13725491,0.16981132,0.27272728,0.25,0.14,0.05,0.1923077,0.05376344,0.05376344,0.16363636,0.13636364,0.2,0.22222222,0.2982456,0.06097561,0.071428575,0.13207547,0.0877193,0.16393442,0.15384616,0.16393442,0.07058824,0.18867925,0.140625,0.21568628,0.12068965,0.17142858,0.22077923,0.11392405,0.04225352,0.105882354,0.17567568,0.12643678,0.14084508,0.051282052,0.084337346,0.17948718,0.1,0.06666667,0.06666667,0.13333334,0.16883117,0.29411766,0.14516129,0.17333333,0.13636364,0.13157895,0.09638554,0.16666667,0.056603774,0.05940594,0.057142857,0.05785124,0.14814815,0.30379745,0.08737864,0.1978022,0.05357143,0.23255815,0.12903225,0.08510638,0.12087912,0.051282052,0.045454547,0.05357143,0.0625
Wogonin,0.05952381,0.07058824,0.025316456,0.075,0.048780486,0.07317073,0.092307694,0.055555556,0.08571429,0.088607594,0.118644066,0.05882353,0.13559322,0.092307694,0.13333334,0.118644066,0.16666667,0.10144927,0.18072289,0.24193548,0.17391305,0.14545454,0.118644066,0.020408163,0.12676056,0.14084508,0.03773585,0.1923077,0.03508772,0.12,0.07017544,0.1884058,0.035714287,0.16901408,0.15384616,0.14285715,0.09589041,0.23333333,0.06896552,0.1754386,0.1509434,0.24193548,1.0,0.10526316,0.15384616,0.06521739,0.23214285,0.5,0.41666666,0.15277778,0.21428572,0.24,0.18333334,0.25,0.125,0.15492958,0.24193548,0.14285715,0.22222222,0.18,0.24074075,0.21818182,0.10204082,0.03448276,0.21621622,0.06741573,0.06741573,0.17307693,0.14285715,0.16666667,0.21153846,0.24561404,0.07692308,0.08510638,0.14,0.11320755,0.19298245,0.16129032,0.1724138,0.086419754,0.25,0.12903225,0.20408164,0.12727273,0.14492753,0.21333334,0.14864865,0.05970149,0.12345679,0.15068494,0.15853658,0.114285715,0.067567565,0.0875,0.14102565,0.125,0.07017544,0.07017544,0.15492958,0.359375,0.23188406,0.114754096,0.13333334,0.10769231,0.15277778,0.1,0.17391305,0.058252428,0.06122449,0.048543688,0.059322033,0.16883117,0.2987013,0.09,0.23255815,0.055045873,0.17045455,0.12087912,0.125,0.15116279,0.045454547,0.046728972,0.055045873,0.064935066
EMB-3,0.06849315,0.12676056,0.04477612,0.056338027,0.056338027,0.05479452,0.09090909,0.10169491,0.10169491,0.041666668,0.5277778,0.08928572,0.07692308,0.11111111,0.09615385,0.5277778,0.475,0.12068965,0.04819277,0.1,0.07692308,0.33333334,0.5277778,0.21875,0.078125,0.09375,0.023255814,0.10869565,0.09090909,0.057971016,0.08695652,0.109375,0.044444446,0.10769231,0.04918033,0.09756097,0.13114753,0.10526316,0.064935066,0.09803922,0.08695652,0.1,0.10526316,1.0,0.06521739,0.11764706,0.094339624,0.094339624,0.09615385,0.04347826,0.11764706,0.10869565,0.09090909,0.14893617,0.09677419,0.04411765,0.1,0.12765957,0.1,0.11627907,0.09803922,0.16666667,0.13157895,0.08888889,0.067567565,0.06329114,0.06329114,0.08695652,0.1509434,0.18181819,0.083333336,0.09090909,0.073529415,0.09638554,0.12195122,0.06666667,0.11764706,0.05172414,0.14,0.08450704,0.11363637,0.05357143,0.14285715,0.10869565,0.0625,0.09589041,0.04225352,0.071428575,0.038961038,0.073529415,0.06329114,0.08064516,0.046153847,0.07042254,0.083333336,0.15555556,0.08695652,0.08695652,0.05970149,0.07042254,0.0882353,0.0754717,0.0882353,0.08928572,0.10769231,0.06944445,0.09375,0.031578947,0.033333335,0.031914894,0.04587156,0.097222224,0.085365854,0.05376344,0.07954545,0.02970297,0.08235294,0.083333336,0.060240965,0.060240965,0.03448276,0.030612245,0.02970297,0.07575758
